,month,Temperature,RH,Rain,FFMC,DMC,DC,ISI,BUI,FWI,region_encoded
24,6,31,64,0.0,86.7,14.2,63.8,5.7,18.3,8.4,0
6,6,33,54,0.0,88.2,9.9,30.5,6.4,10.9,7.2,0
152,7,28,58,2.2,63.7,3.2,8.5,1.2,3.3,0.5,1
233,9,34,58,0.2,79.5,18.7,88,2.1,24.4,3.8,1
239,9,30,65,0.0,85.4,16.0,44.5,4.5,16.9,6.5,1
176,7,39,64,1.2,73.8,11.7,15.9,1.1,11.4,0.7,1
216,9,28,75,0.0,82.2,4.4,24.3,3.3,6.0,2.5,1
150,6,37,36,0.6,86.2,17.9,36.7,4.8,17.8,7.2,1
9,6,28,79,0.0,73.2,9.5,46.3,1.3,12.6,0.9,0
113,9,31,50,0.6,77.8,10.6,41.4,2.4,12.9,2.8,0
45,7,28,76,0.0,72.6,7.0,25.5,0.7,8.3,0.4,0
210,8,35,56,0.4,79.2,37.0,166,2.1,30.6,6.1,1
228,9,32,51,0.0,88.7,16.0,50.2,6.9,17.8,9.8,1
171,7,36,50,0.0,89.9,32.7,71,9.5,32.6,17.3,1
82,8,36,55,0.0,89.1,33.5,151.3,9.9,43.1,20.4,0
161,7,34,51,3.8,77.5,8.0,9.5,2.0,7.7,1.3,1
237,9,26,49,2.0,61.3,11.9,28.1,0.6,11.9,0.4,1
15,6,29,89,0.7,36.1,1.7,7.6,0.0,2.2,0,0
66,8,32,75,0.0,86.4,13.0,39.1,5.2,14.2,6.8,0
127,6,35,54,0.1,83.7,8.4,26.3,3.1,9.3,3.1,1
33,7,33,78,0.0,80.1,4.6,18.5,2.7,5.7,1.7,0
19,6,30,80,0.4,59.8,3.4,27.1,0.9,5.1,0.4,0
108,9,31,52,0.0,87.7,6.4,24.3,6.2,7.7,5.9,0
30,7,29,68,1.0,59.9,2.5,8.6,1.1,2.9,0.4,0
186,8,38,35,0.0,93.8,23.0,42.7,15.7,22.9,20.9,1
164,7,39,45,0.6,85.2,11.3,10.4,4.2,10.9,4.7,1
10,6,31,65,0.0,84.5,12.5,54.3,4.0,15.8,5.6,0
73,8,35,63,0.0,87.0,19.0,85.1,5.9,24.4,10.2,0
93,9,22,86,10.1,30.5,0.7,7,0.0,1.1,0,0
155,7,34,58,0.0,88.0,13.6,36.8,8.0,14.1,9.9,1
111,9,28,84,0.0,83.8,13.5,49.3,4.5,16.0,6.3,0
218,9,30,58,4.1,66.1,4.0,8.4,1.0,3.9,0.4,1
25,6,31,64,0.0,86.8,17.8,71.8,6.7,21.6,10.6,0
60,7,35,64,0.0,87.2,31.9,145.7,6.8,41.2,15.7,0
18,6,31,55,0.1,79.9,4.5,16,2.5,5.3,1.4,0
126,6,32,60,0.2,77.1,6.0,17.6,1.8,6.5,0.9,1
96,9,29,75,0.0,80.8,3.4,24,2.8,5.1,1.7,0
197,8,35,46,0.3,83.9,16.9,54.2,3.5,19.0,5.5,1
137,6,29,87,0.4,47.4,4.2,8,0.2,4.1,0.1,1
241,9,27,87,0.5,45.9,3.5,7.9,0.4,3.4,0.2,1
75,8,36,55,0.3,82.4,15.6,92.5,3.7,22.0,6.3,0
117,9,31,54,0.0,82.0,6.0,16.3,2.5,6.2,1.7,0
112,9,31,55,0.0,87.8,16.5,57.9,5.4,19.2,8.3,0
16,6,30,89,0.6,37.3,1.1,7.8,0.0,1.6,0,0
196,8,37,40,0.0,91.9,22.3,55.5,10.8,22.3,15.7,1
67,8,32,69,0.0,86.5,15.5,48.6,5.5,17.2,8,0
168,7,32,81,0.0,84.6,21.1,42.3,4.7,20.9,7.7,1
38,7,32,68,1.4,66.6,7.7,9.2,1.1,7.4,0.6,0
181,7,36,56,0.0,88.9,23.8,57.1,8.2,23.8,13.2,1
